--a	ァ
--u	ゥ
--e	ェ
--o	ォ
--ya	ャ
--yu	ュ
--yo	ョ
--tsu	ﾂ
--i	ィ
-a	ぁ
-u	ぅ
-e	ぇ
-o	ぉ
-ya	ゃ
-yu	ゅ
-yo	ょ
-tsu	っ
-i	ぃ
[	「
]	」
.	。
^mr	゜
^tt	゛
-=-	ー
=ga	ガ
=gi	ギ
=gu	グ
=ge	ゲ
=go	ゴ
=za	ザ
=zi	ジ
=zu	ズ
=ze	ゼ
=zo	ゾ
=da	ダ
=di	ヂ
=du	ヅ
=de	デ
=do	ド
=ba	バ
=bi	ビ
=bu	ブ
=be	ベ
=bo	ボ
=pa	パ
=pi	ピ
=pu	プ
=pe	ペ
=po	ポ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
da	だ
di	ぢ
du	づ
de	で
do	ど
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
=ka	カ
=ki	キ
=ku	ク
=ke	ケ
=ko	コ
=ta	タ
=chi	チ
=tsu	ツ
=te	テ
=to	ト
=sa	サ
=shi	シ
=su	ス
=se	セ
=so	ソ
=na	ナ
=ni	ニ
=nu	ヌ
=ne	ネ
=no	ノ
=ha	ハ
=hi	ヒ
=fu	フ
=he	ヘ
=ho	ホ
=ma	マ
=mi	ミ
=mu	ム
=me	メ
=mo	モ
=ya	ヤ
=yu	ユ
=yo	ヨ
=wo	ヲ
=wa	ワ
=ra	ラ
=ri	リ
=ru	ル
=re	レ
=ro	ロ
=nn	ン
=a	ア
=i	イ
=u	ウ
=e	エ
=o	オ
ka	か
ki	き
ku	く
ke	け
ko	こ
ta	た
chi	ち
tsu	つ
te	て
to	と
sa	さ
shi	し
su	す
se	せ
so	そ
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
fu	ふ
he	へ
ho	ほ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
yo	よ
wo	を
wa	わ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
nn	ん
a	あ
i	い
u	う
e	え
o	お
